Time,T,TB4,Q
2020-02-08 17:30:00,281.54999999999995,280.25,2.7777777777777777
2020-02-08 17:45:00,281.54999999999995,280.25,1.388888888888889
2020-02-08 18:00:00,281.54999999999995,280.25,0.0
2020-02-08 18:15:00,281.575,280.2583333333333,0.0
2020-02-08 18:30:00,281.59999999999997,280.26666666666665,0.0
2020-02-08 18:45:00,281.625,280.275,0.0
2020-02-08 19:00:00,281.65,280.2833333333333,0.0
2020-02-08 19:15:00,281.65,280.29166666666663,0.0
2020-02-08 19:30:00,281.65,280.29999999999995,0.0
2020-02-08 19:45:00,281.65,280.30833333333334,0.0
2020-02-08 20:00:00,281.65,280.31666666666666,0.0
2020-02-08 20:15:00,281.59999999999997,280.325,0.0
2020-02-08 20:30:00,281.54999999999995,280.3333333333333,0.0
2020-02-08 20:45:00,281.5,280.34166666666664,0.0
2020-02-08 21:00:00,281.45,280.34999999999997,0.0
2020-02-08 21:15:00,281.25,280.3583333333333,0.0
2020-02-08 21:30:00,281.04999999999995,280.3666666666666,0.0
2020-02-08 21:45:00,280.84999999999997,280.375,0.0
2020-02-08 22:00:00,280.65,280.3833333333333,0.0
2020-02-08 22:15:00,280.65,280.39166666666665,0.0
2020-02-08 22:30:00,280.65,280.4,0.0
2020-02-08 22:45:00,280.65,280.4083333333333,0.0
2020-02-08 23:00:00,280.65,280.41666666666663,0.0
2020-02-08 23:15:00,281.375,280.42499999999995,0.0
2020-02-08 23:30:00,282.09999999999997,280.43333333333334,0.0
2020-02-08 23:45:00,282.825,280.44166666666666,0.0
2020-02-09 00:00:00,283.54999999999995,280.45,0.0
2020-02-09 00:15:00,282.9,280.44166666666666,0.0
2020-02-09 00:30:00,282.25,280.43333333333334,0.0
2020-02-09 00:45:00,281.59999999999997,280.42499999999995,0.0
2020-02-09 01:00:00,280.95,280.41666666666663,0.0
2020-02-09 01:15:00,280.97499999999997,280.4083333333333,0.0
2020-02-09 01:30:00,281.0,280.4,0.0
2020-02-09 01:45:00,281.025,280.39166666666665,0.0
2020-02-09 02:00:00,281.04999999999995,280.3833333333333,0.0
2020-02-09 02:15:00,281.075,280.375,0.0
2020-02-09 02:30:00,281.09999999999997,280.3666666666666,0.0
2020-02-09 02:45:00,281.125,280.3583333333333,0.0
2020-02-09 03:00:00,281.15,280.34999999999997,0.0
2020-02-09 03:15:00,281.09999999999997,280.34166666666664,0.0
2020-02-09 03:30:00,281.04999999999995,280.3333333333333,0.0
2020-02-09 03:45:00,281.0,280.325,0.0
2020-02-09 04:00:00,280.95,280.31666666666666,0.0
2020-02-09 04:15:00,281.075,280.30833333333334,0.0
2020-02-09 04:30:00,281.2,280.29999999999995,0.0
2020-02-09 04:45:00,281.325,280.29166666666663,0.0
2020-02-09 05:00:00,281.45,280.2833333333333,0.0
2020-02-09 05:15:00,281.525,280.275,0.0
2020-02-09 05:30:00,281.59999999999997,280.26666666666665,0.0
2020-02-09 05:45:00,281.67499999999995,280.2583333333333,0.0
2020-02-09 06:00:00,281.75,280.25,0.0
2020-02-09 06:15:00,281.72499999999997,280.25416666666666,0.0
2020-02-09 06:30:00,281.7,280.2583333333333,0.0
2020-02-09 06:45:00,281.67499999999995,280.2625,0.0
2020-02-09 07:00:00,281.65,280.26666666666665,0.0
2020-02-09 07:15:00,281.67499999999995,280.2708333333333,2.083333333333333
2020-02-09 07:30:00,281.7,280.275,4.166666666666667
2020-02-09 07:45:00,281.72499999999997,280.27916666666664,6.25
2020-02-09 08:00:00,281.75,280.2833333333333,8.333333333333334
2020-02-09 08:15:00,281.875,280.28749999999997,17.36111111111111
2020-02-09 08:30:00,282.0,280.29166666666663,26.38888888888889
2020-02-09 08:45:00,282.125,280.2958333333333,35.41666666666667
2020-02-09 09:00:00,282.25,280.29999999999995,44.44444444444444
2020-02-09 09:15:00,282.34999999999997,280.3041666666666,54.86111111111111
2020-02-09 09:30:00,282.45,280.30833333333334,65.27777777777779
2020-02-09 09:45:00,282.54999999999995,280.3125,75.69444444444444
2020-02-09 10:00:00,282.65,280.31666666666666,86.11111111111111
2020-02-09 10:15:00,282.72499999999997,280.3208333333333,79.8611111111111
2020-02-09 10:30:00,282.79999999999995,280.325,73.61111111111111
2020-02-09 10:45:00,282.875,280.32916666666665,67.36111111111111
2020-02-09 11:00:00,282.95,280.3333333333333,61.11111111111112
2020-02-09 11:15:00,283.09999999999997,280.3375,63.19444444444444
2020-02-09 11:30:00,283.25,280.34166666666664,65.27777777777779
2020-02-09 11:45:00,283.4,280.3458333333333,67.36111111111111
2020-02-09 12:00:00,283.54999999999995,280.34999999999997,69.44444444444444
2020-02-09 12:15:00,283.7,280.34999999999997,66.66666666666666
2020-02-09 12:30:00,283.84999999999997,280.34999999999997,63.888888888888886
2020-02-09 12:45:00,284.0,280.34999999999997,61.11111111111112
2020-02-09 13:00:00,284.15,280.34999999999997,58.333333333333336
2020-02-09 13:15:00,284.325,280.34999999999997,53.47222222222222
2020-02-09 13:30:00,284.5,280.34999999999997,48.61111111111112
2020-02-09 13:45:00,284.67499999999995,280.34999999999997,43.75000000000001
