,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2020-01-15 11:45:00,0,661,0,754,664,0,751,0,696,0,0,850,0,751,0,0,0,0,899,691,877,741,0,0,0,725,0,724,525,0,665,0,0,688,762,815,0,0,0,0,0,525,752,711,696,725,525,654,0,0
2020-01-15 12:00:00,731,0,751,525,664,0,0,0,696,525,614,581,715,751,917,0,0,0,0,0,0,741,0,0,525,725,726,0,756,0,0,0,0,688,762,525,720,715,739,660,0,0,0,0,696,725,525,0,764,0
2020-01-15 12:15:00,0,661,0,0,664,731,751,0,0,525,614,0,0,0,0,680,0,0,0,727,525,0,904,696,752,0,0,0,756,0,0,569,0,688,0,0,720,715,739,730,668,875,752,711,696,0,661,0,0,0
2020-01-15 12:30:00,731,0,0,0,0,731,751,718,0,704,614,850,715,699,917,680,0,0,899,727,877,0,904,0,0,725,726,0,756,0,0,0,525,688,0,525,0,0,0,730,0,0,752,711,0,0,0,654,0,0
2020-01-15 12:45:00,0,0,751,0,0,731,0,718,0,0,614,850,525,751,917,680,724,0,899,0,0,741,0,0,752,0,726,0,756,0,0,0,754,688,762,0,720,715,739,730,0,0,752,711,696,725,0,0,764,676
2020-01-15 13:00:00,0,661,751,0,664,731,0,718,696,0,614,0,715,751,0,680,724,0,0,0,525,0,904,696,0,0,726,724,0,666,0,659,754,0,0,0,720,0,0,730,0,525,752,0,696,0,661,0,525,676
2020-01-15 13:15:00,731,0,0,754,0,731,751,718,696,704,614,850,0,0,525,0,0,642,899,727,877,741,904,696,752,0,525,724,756,666,665,659,754,688,762,815,525,715,0,0,668,875,752,711,696,725,661,525,764,676
2020-01-15 13:30:00,731,661,751,754,0,731,751,582,0,0,0,525,715,751,917,680,724,642,0,727,525,741,904,696,0,0,525,724,525,0,0,659,754,688,762,0,720,715,0,730,668,525,752,711,0,525,661,0,525,676
2020-01-15 13:45:00,0,661,751,754,664,731,751,525,0,704,525,525,0,751,917,680,724,642,899,727,525,741,904,696,752,0,726,0,0,666,665,525,0,688,0,815,720,0,0,0,0,525,752,0,696,0,0,0,764,676
2020-01-15 14:00:00,731,0,751,754,664,731,751,525,0,704,0,525,525,751,917,0,724,642,671,727,0,741,904,696,0,725,726,724,756,666,665,0,754,0,525,0,720,0,0,730,668,0,752,711,525,725,525,654,764,676
